tag,pattern
advising,What is the Department of Computer Science?
advising,What is the Department of CS?
advising,What is the CS Department?
advising,What is the Computer Science Department?
advising,What is the CS Dept.?
advising,What majors does the Department of Computer Science offer?
advising,What are the majors in the CS department?
advising,What majors are offered by the Computer Science Department?
advising,What are the majors run by the Computer Science Department?
advising,What majors does the CS department offer?
advising,What is the mission of the Department of Computer Science?
advising,What is the mission of the CS department?
advising,Does the CS department have a mission?
advising,What is the Computer Science Department's mission?
advising,What is the CS department's main mission?
advising,What is the computer science minor?
advising,What is the CS minor?
advising,What does the CS minor entail?
advising,What does the computer science minor entail?
advising,Is there a computer science minor?
advising,What are the requirements for the computer science minor?
advising,What classes do I need to take in the computer science minor?
advising,What classes do I need to complete the CS minor?
advising,What courses are part of the CS minor?
advising,What are the required courses in the computer science minor?
advising,Can I susbtitute courses in the computer science minor?
advising,Can I make a course substitution in the CS minor?
advising,Can I take a different course in the computer science minor?
advising,Can I change a course requirement in the CS minor?
advising,Can I change a course requirement for an elective in the computer science minor?
advising,How do I sign up for a computer science minor?
advising,How do I enroll in the CS minor?
advising,What is the process to sign up to have a computer science minor?
advising,What is the process to sign up for the CS minor?
advising,What do I have to do to sign up for a computer science minor?
advising,Am I eligible for a computer science minor?
advising,How do I check if I am eligible to have a CS minor?
advising,What are the eligibility requirements to take a computer science minor?
advising,Can I take a CS minor?
advising,How do I check if I can take a computer science minor?
advising,How many credit hours is the computer science minor?
advising,How many classes make up a CS minor?
advising,How many credits do I need to have a computer science minor?
advising,What is the number of credit hours in the CS minor?
advising,How many courses does it take to get a minor in computer science?
advising,What is the information technology minor?
advising,How many classes make up an IT minor?
advising,How many credits do I need to have an information technology minor?
advising,What is the number of credit hours in the IT minor?
advising,How many courses does it take to get a minor in information technology?
advising,What are the requirements for the information technology minor?
advising,What classes do I need to take in the information technology minor?
advising,What classes do I need to complete the IT minor?
advising,What courses are part of the IT minor?
advising,What are the required courses in the information technology minor?
advising,Can I susbtitute courses in the information technology minor?
advising,Can I make a course substitution in the IT minor?
advising,Can I take a different course in the information technology minor?
advising,Can I change a course requirement in the IT minor?
advising,Can I change a course requirement for an elective in the information technology minor?
advising,How do I sign up for an information technology minor?
advising,How do I enroll in the IT minor?
advising,What is the process to sign up to have a information technology minor?
advising,What is the process to sign up for the IT minor?
advising,What do I have to do to sign up for a information technology minor?
advising,Am I eligible for an information technology minor?
